,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
TW7,313,22,2,3,1,6,5,2,4,8,11,8,14,4,2,2,2,0,0,7,0,5,0,1,15,7,5,0,13,8,5,19,3,1,7,0,3,4,0,7,5,10,28,9,5,3,10,10,16,4,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,874,2,2,5,10,14,5,7,11,25,17,32,28,6,9,9,16,30,2,20,7,12,5,10,7,23,4,14,28,19,6,36,5,5,23,7,4,8,10,82,19,7,94,14,7,21,10,25,90,11,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,685,22,3,5,8,17,8,4,8,18,22,22,29,8,6,6,6,14,7,9,3,6,4,4,24,12,11,8,25,11,6,36,6,4,21,6,3,4,2,28,11,26,55,19,9,16,18,12,55,8,10
Commits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW1,28939,168,147,84,113,315,103,1791,145,234,186,2251,790,132,231,65,109,592,30,149,76,166,89,93,33,423,84,102,286,151,20,381,117,48,7739,141,70,90,657,4392,235,516,2218,67,143,62,158,185,1904,441,217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW2,11839,131,104,37,46,72,37,506,69,118,11,1078,352,74,181,47,52,214,5,28,32,79,45,35,13,184,44,29,130,57,19,55,26,15,3317,30,35,71,291,1950,77,118,800,32,27,22,52,57,805,196,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW3,10060,20,21,31,25,120,45,721,38,85,43,627,222,39,43,8,33,263,2,83,17,74,21,35,9,110,14,48,102,63,0,140,68,9,2796,7,27,3,216,1777,90,106,782,16,92,19,64,71,587,138,90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4,4180,9,19,15,31,74,18,320,11,15,2,358,140,12,3,9,14,95,9,29,3,4,22,18,2,102,6,14,24,17,0,151,11,21,856,102,5,6,90,634,36,144,232,4,18,17,34,37,304,43,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW5,2774,8,2,1,11,47,3,239,27,16,130,183,75,7,4,1,10,20,14,9,24,9,1,5,9,27,20,11,30,14,1,35,11,3,747,0,3,10,60,20,32,143,384,15,6,4,8,19,201,63,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6,7020,17,22,16,42,123,21,564,38,31,132,543,216,19,7,10,24,115,23,38,27,13,23,23,11,129,26,25,54,31,1,186,22,24,1626,102,8,16,150,654,68,292,634,19,24,21,42,56,512,107,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW7,6484,77,19,25,5,155,19,530,58,16,116,389,137,22,38,20,9,2,0,433,2,23,26,5,35,137,115,4,39,35,64,177,31,14,1095,0,17,19,15,50,103,79,763,20,61,13,66,66,701,562,77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW8,20655,138,125,61,71,167,78,1115,106,203,54,1629,541,111,224,51,84,455,7,107,46,152,66,70,20,273,58,73,225,113,19,177,70,19,5885,39,58,73,459,3414,146,213,1493,46,114,41,101,119,1307,328,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW9,13469,94,41,41,47,278,40,1094,96,47,252,932,353,41,45,30,33,117,23,471,30,36,49,28,46,266,141,29,93,66,67,366,54,38,2729,102,25,35,165,704,171,371,1397,39,85,34,108,68,1213,669,170
